epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,1225.12,1.45926,2.19664,1.46131,1,0.20491,0.47999,0.26303,1.8844,4.18794,1.98042,0.000551997,0.000551997,0.000551997
29,1276.17,1.48527,2.24298,1.41377,1,0.20491,0.47999,0.26303,1.8844,4.18794,1.98042,0.000547616,0.000547616,0.000547616
30,1338.46,1.39738,2.09547,1.36629,1,0.27378,0.53058,0.2911,1.89055,4.04942,1.89899,0.000541537,0.000541537,0.000541537
31,1380.84,1.58541,2.22835,1.48296,1,0.26318,0.61808,0.33179,1.85987,3.89285,1.85564,0.00053376,0.00053376,0.00053376
32,1424.31,1.44183,2.07547,1.38774,1,0.25214,0.69693,0.38851,1.9553,3.84836,1.8846,0.000524286,0.000524286,0.000524286
33,1473.8,1.40128,1.97544,1.33426,1,0.25214,0.69693,0.38851,1.9553,3.84836,1.8846,0.000513114,0.000513114,0.000513114
34,1515.35,1.28606,1.83299,1.24099,1,0.28009,0.62753,0.34654,1.98046,3.85266,1.90621,0.000495291,0.000495291,0.000495291
35,1557.89,1.42612,2.2112,1.39615,1,0.26611,0.63244,0.34967,1.86181,3.9465,1.78721,0.000466997,0.000466997,0.000466997
36,1598.01,1.37876,2.06694,1.38953,1,0.24474,0.66339,0.38151,1.76878,3.88234,1.71838,0.000438703,0.000438703,0.000438703
37,1637.41,1.35411,1.96129,1.3271,1,0.24474,0.66339,0.38151,1.76878,3.88234,1.71838,0.000410409,0.000410409,0.000410409
38,1678.31,1.26278,1.72737,1.26886,1,0.40761,0.80535,0.4769,1.62615,3.52857,1.62669,0.000382115,0.000382115,0.000382115
39,1716.59,1.21053,1.75002,1.23921,0.96647,0.58824,0.88251,0.54519,1.50548,3.22666,1.56539,0.00035382,0.00035382,0.00035382
40,1753.31,1.3441,1.68118,1.24913,0.88413,0.6734,0.91362,0.54051,1.46201,2.90593,1.53318,0.000325526,0.000325526,0.000325526
41,1789.81,1.27934,2.26899,1.30665,0.88413,0.6734,0.91362,0.54051,1.46201,2.90593,1.53318,0.000297232,0.000297232,0.000297232
42,1825.5,1.24724,2.24973,1.32026,0.88726,0.92605,0.96059,0.59809,1.3883,2.39632,1.46752,0.000268938,0.000268938,0.000268938
43,1861.2,1.09259,2.02646,1.21839,0.94226,0.91176,0.98556,0.59512,1.38042,2.06625,1.47516,0.000240644,0.000240644,0.000240644
44,1896.84,1.17199,2.02431,1.26503,0.9577,0.94118,0.98812,0.60769,1.34616,1.9414,1.46479,0.000212349,0.000212349,0.000212349
45,1932.09,1.03983,1.94169,1.13635,0.9577,0.94118,0.98812,0.60769,1.34616,1.9414,1.46479,0.000184055,0.000184055,0.000184055
46,1967.76,1.06453,1.86389,1.10824,0.97258,0.94118,0.99112,0.65517,1.27701,1.80625,1.40769,0.000155761,0.000155761,0.000155761
47,2001.08,0.98449,1.89407,1.1274,0.99142,0.97059,0.99389,0.68914,1.16475,1.70498,1.32092,0.000127467,0.000127467,0.000127467
48,2032.98,1.06566,2.03441,1.20806,0.9952,0.97059,0.99443,0.70062,1.01874,1.68259,1.19965,9.91726e-05,9.91726e-05,9.91726e-05
49,2064.58,1.02468,1.96535,1.14571,0.9952,0.97059,0.99443,0.70062,1.01874,1.68259,1.19965,7.08784e-05,7.08784e-05,7.08784e-05
50,2098.56,1.00095,1.85894,1.12832,1,0.99326,0.995,0.71807,0.98688,1.63639,1.17444,4.25842e-05,4.25842e-05,4.25842e-05
