epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.812,3.22206,5.24114,3.00419,0.00217,0.17647,0.00141,0.00029,3.21105,6.30178,3.24667,2.858e-05,2.858e-05,2.858e-05
2,166.094,3.34486,4.92733,3.00253,0.00274,0.26471,0.00307,0.00067,3.02125,6.07971,2.96768,7.00353e-05,7.00353e-05,7.00353e-05
3,208.266,2.84728,4.81839,2.6881,0.00483,0.44118,0.01293,0.0024,2.90396,5.48939,2.86957,0.000109793,0.000109793,0.000109793
4,255.347,2.795,4.77962,2.58291,0.00804,0.61765,0.04745,0.00959,3.04623,5.28052,2.84693,0.000147853,0.000147853,0.000147853
5,308.11,2.70584,4.41004,2.42463,0.01238,0.76471,0.06065,0.02043,2.70444,5.5994,2.57931,0.000184215,0.000184215,0.000184215
6,360.497,2.54389,4.16684,2.20406,0.01222,0.70588,0.08779,0.02315,2.77223,5.26106,2.68647,0.00021888,0.00021888,0.00021888
7,405.495,2.62884,4.07748,2.17636,0.0119,0.88235,0.1224,0.04033,2.59543,5.11889,2.57882,0.000251847,0.000251847,0.000251847
8,454.571,2.36688,3.94266,2.12778,0.01191,0.88235,0.12023,0.04018,2.64424,4.96743,2.61025,0.000283116,0.000283116,0.000283116
9,497.132,2.18068,3.85245,1.92531,0.01269,0.88235,0.13999,0.05744,2.49478,4.88162,2.50137,0.000312688,0.000312688,0.000312688
10,538.022,2.29775,3.64154,1.96626,0.01264,0.85294,0.13894,0.06581,2.4188,4.65648,2.4104,0.000340562,0.000340562,0.000340562
11,575.396,1.877,3.46169,1.85073,0.0133,0.85294,0.23391,0.07138,2.40931,4.54138,2.45982,0.000366739,0.000366739,0.000366739
12,613.375,2.00942,3.35438,1.86974,0.01327,0.82353,0.1776,0.07425,2.42267,4.54957,2.6059,0.000391217,0.000391217,0.000391217
13,650.518,1.94966,3.24795,1.87541,0.01585,0.88235,0.19664,0.07677,2.41553,4.47224,2.66135,0.000413998,0.000413998,0.000413998
14,691.051,1.83061,3.29138,1.78044,1,0.06952,0.33549,0.11812,2.44569,4.42077,2.56782,0.000435082,0.000435082,0.000435082
15,728.855,1.88663,3.11078,1.71,1,0.05606,0.34942,0.13891,2.52538,4.65601,2.69058,0.000454468,0.000454468,0.000454468
16,765.69,1.87331,2.93925,1.68015,0.01101,0.70588,0.36649,0.12516,2.70196,4.73014,2.86555,0.000472156,0.000472156,0.000472156
17,800.223,1.72288,2.75389,1.63743,0.0076,0.58824,0.22669,0.05327,2.58894,4.92626,2.80631,0.000488146,0.000488146,0.000488146
18,835.372,1.71572,3.02182,1.58511,0.00764,0.58824,0.2152,0.04953,2.6076,4.97411,2.87465,0.000502439,0.000502439,0.000502439
19,870.844,1.73025,2.63735,1.63919,1,0.16513,0.27802,0.06149,2.51763,4.74448,2.85427,0.000515034,0.000515034,0.000515034
20,905.049,1.64772,2.57293,1.49165,1,0.07347,0.33689,0.11232,2.34654,4.55917,2.7036,0.000525932,0.000525932,0.000525932
21,940.641,1.72635,2.42854,1.50595,1,0.08353,0.40901,0.18067,2.24619,4.4855,2.45547,0.000535132,0.000535132,0.000535132
22,977.057,1.63146,2.57089,1.57101,0.99707,0.11765,0.39231,0.18432,2.3387,4.46163,2.3787,0.000542634,0.000542634,0.000542634
23,1024.77,1.66671,2.57191,1.4859,0.96719,0.11765,0.41822,0.18697,2.39393,4.4362,2.42014,0.000548439,0.000548439,0.000548439
24,1065.27,1.57552,2.37586,1.51684,0.80451,0.08824,0.38522,0.14973,2.49722,4.43644,2.51034,0.000552546,0.000552546,0.000552546
25,1101.95,1.55076,2.46246,1.43682,0.64524,0.08824,0.43872,0.15437,2.42679,4.40497,2.41878,0.000554955,0.000554955,0.000554955
26,1141.71,1.55401,2.30983,1.48443,0.8029,0.12021,0.49859,0.20948,2.20847,4.29966,2.21566,0.000555667,0.000555667,0.000555667
27,1185.16,1.54051,2.1839,1.42252,0.81279,0.12893,0.494,0.2506,1.95996,4.24193,2.03608,0.000554681,0.000554681,0.000554681
