epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,470.7,1.05755,2.12808,1.53788,0.00378,0.5,0.08429,0.04242,1.9366,4.02907,2.44078,0.000463102,0.000463102,0.000463102
2,870.221,0.76507,1.20874,1.28657,0.00405,0.5,0.07808,0.02298,2.0702,4.77835,2.84184,0.000920834,0.000920834,0.000920834
3,1246.95,0.73531,1.11464,1.25296,0.00385,0.5,0.08909,0.03859,1.76634,6.5853,2.84587,0.0013597,0.0013597,0.0013597
4,1594.47,0.71076,1.05018,1.24855,0.00371,0.5,0.01963,0.00945,1.54966,5.34529,2.1733,0.00134412,0.00134412,0.00134412
5,1949.01,0.65641,0.92732,1.20614,0.0043,0.5,0.03076,0.01196,1.68465,4.65081,2.51704,0.00131582,0.00131582,0.00131582
6,2289.12,0.63647,0.85049,1.19173,0.00471,0.5,0.02593,0.01329,1.69926,4.75,2.22045,0.00128753,0.00128753,0.00128753
7,2671.88,0.60828,0.76579,1.14844,0.00465,0.5,0.17726,0.04734,1.81094,4.74407,2.40618,0.00125923,0.00125923,0.00125923
8,3025.3,0.58634,0.71283,1.1472,0.00496,0.475,0.01891,0.01125,1.61392,4.95932,2.26431,0.00123094,0.00123094,0.00123094
